word	log10(p)	rank
葡萄	   -3.7646	475
海军	   -3.7657	476
一般	   -3.7658	477
歧义	   -3.7660	478
纪念	   -3.7661	479
医院	   -3.7666	480
最大	   -3.7675	481
作家	   -3.7684	482
三年	   -3.7685	483
我们	   -3.7698	484
基数	   -3.7699	485
所以	   -3.7701	486
故事	   -3.7723	487
十四	   -3.7726	488
湖北	   -3.7728	489
美洲	   -3.7728	490
控制	   -3.7736	491
省市	   -3.7736	492
以上	   -3.7737	493
银行	   -3.7751	494
海市	   -3.7755	495
之前	   -3.7761	496
确定	   -3.7765	497
和平	   -3.7768	498
亚州	   -3.7779	499
名为	   -3.7787	500
自然	   -3.7789	501
消歧	   -3.7791	502
主角	   -3.7801	503
个跨	   -3.7807	504
在由	   -3.7814	505
江省	   -3.7820	506
配音	   -3.7830	507
路易	   -3.7835	508
视剧	   -3.7841	509
斯蒂	   -3.7841	510
然而	   -3.7844	511
为了	   -3.7845	512
贝尔	   -3.7855	513
是在	   -3.7860	514
东北	   -3.7863	515
物理	   -3.7877	516
制作	   -3.7881	517
安全	   -3.7887	518
遗址	   -3.7892	519
最终	   -3.7895	520
高等	   -3.7896	521
十六	   -3.7896	522
安徽	   -3.7904	523
要求	   -3.7912	524
结构	   -3.7915	525
球队	   -3.7916	526
南部	   -3.7938	527
务院	   -3.7943	528
生产	   -3.7948	529
元年	   -3.7964	530
人员	   -3.7966	531
西南	   -3.7966	532
乡级	   -3.7970	533
北部	   -3.7978	534
公共	   -3.7993	535
总人	   -3.7997	536
一世	   -3.8006	537
执行	   -3.8017	538
美元	   -3.8025	539
北省	   -3.8025	540
组成	   -3.8026	541
会主	   -3.8035	542
死亡	   -3.8042	543
委会	   -3.8062	544
西北	   -3.8076	545
两个	   -3.8085	546
伊斯	   -3.8094	547
安德	   -3.8096	548
节目	   -3.8098	549
杭州	   -3.8100	550
一座	   -3.8103	551
这一	   -3.8107	552
平均	   -3.8112	553
计算	   -3.8113	554
日报	   -3.8115	555
基督	   -3.8117	556
调查	   -3.8124	557
一位	   -3.8126	558
季奥	   -3.8140	559
扩展	   -3.8155	560
成都	   -3.8160	561
二世	   -3.8163	562
球运	   -3.8166	563
新疆	   -3.8168	564
十五	   -3.8172	565
少年	   -3.8173	566
维尔	   -3.8178	567
替换	   -3.8179	568
什么	   -3.8184	569
十八	   -3.8187	570
江西	   -3.8191	571
得到	   -3.8197	572
斯基	   -3.8213	573
物研	   -3.8225	574
大使	   -3.8227	575
请求	   -3.8235	576
变化	   -3.8246	577
企业	   -3.8246	578
作者	   -3.8257	579
办公	   -3.8273	580
创建	   -3.8276	581
进入	   -3.8280	582
