word	log10(p)	rank	dependance	use fraction	other use fraction
逃往	   -5.1606	5868	  295.7295	    0.0697	    0.0177
逃跑	   -5.2082	6042	 1219.2683	    0.0625	    0.0732
逃走	   -5.2349	6146	  495.6484	    0.0587	    0.0297
逃脱	   -5.2827	6335	  750.7776	    0.0526	    0.0451
逃避	   -5.3118	6459	  784.6046	    0.0492	    0.0471
叛逃	   -5.4550	7035	  869.4406	    0.0354	    0.0522
逃犯	   -5.5266	7299	  241.2946	    0.0300	    0.0145
逃逸	   -5.7325	7995	  477.6291	    0.0187	    0.0287

word	log10(p)	rank	dependance	use fraction	other use fraction
笔	   -4.1136
笔误	   -4.8948	4736	 1403.7562	    0.1288	    0.0841
随笔	   -5.5446	7360	  209.5893	    0.0288	    0.0126
笔尖	   -5.6216	7613	  408.5593	    0.0242	    0.0245
铅笔	   -5.7318	7991	 1654.7263	    0.0187	    0.0991
笔螺	   -5.7878	8153	  229.7282	    0.0165	    0.0138
笔畅	   -5.8807	8467	  850.6360	    0.0133	    0.0509
笔帖	   -5.8992	8514	  733.3510	    0.0127	    0.0439

word	log10(p)	rank	dependance	use fraction	other use fraction
妇	   -4.1142
妇女	   -4.3926	2338	  373.6475	    0.4098	    0.0224
夫妇	   -4.8018	4274	  168.2515	    0.1597	    0.0101
媳妇	   -5.4074	6839	 8495.8987	    0.0396	    0.5082
寡妇	   -5.4680	7073	 3425.0602	    0.0344	    0.2049
妇幼	   -5.6599	7750	  330.0611	    0.0221	    0.0197
孕妇	   -5.6882	7838	 1440.9576	    0.0207	    0.0862

word	log10(p)	rank	dependance	use fraction	other use fraction
虹	   -4.1146
彩虹	   -4.6228	3447	 2141.4411	    0.2414	    0.1280
虹桥	   -4.7579	4068	  474.8859	    0.1769	    0.0284
虹易	   -5.1002	5629	  226.4743	    0.0804	    0.0135
虹邨	   -5.7178	7950	  526.2544	    0.0194	    0.0314
霓虹	   -5.8585	8392	 4432.1152	    0.0140	    0.2649
虹膜	   -5.8640	8411	  423.7749	    0.0139	    0.0253

word	log10(p)	rank	dependance	use fraction	other use fraction
鼠	   -4.1156
老鼠	   -4.9597	5017	  326.5380	    0.1114	    0.0195
松鼠	   -5.1269	5732	  209.4059	    0.0758	    0.0125
鼠疫	   -5.3614	6672	  590.9942	    0.0442	    0.0352
袋鼠	   -5.3663	6691	 1570.0199	    0.0437	    0.0936
鼠尾	   -5.4441	6984	  234.8939	    0.0365	    0.0140
豚鼠	   -5.7185	7951	 1474.4808	    0.0194	    0.0879
仓鼠	   -5.7532	8047	  419.0620	    0.0179	    0.0250
鼠兔	   -5.8972	8508	  267.6193	    0.0129	    0.0160
鼯鼠	   -5.9552	8686	11017.8317	    0.0113	    0.6570

word	log10(p)	rank	dependance	use fraction	other use fraction
芒	   -4.1160
芒果	   -4.9103	4802	  273.7381	    0.1249	    0.0163
芒什	   -5.1674	5885	  235.2383	    0.0691	    0.0140

word	log10(p)	rank	dependance	use fraction	other use fraction
租	   -4.1170
租界	   -4.4420	2545	  535.5191	    0.3682	    0.0318
租借	   -4.6166	3398	 3525.7318	    0.2463	    0.2095
租赁	   -5.2761	6313	16485.4320	    0.0539	    0.9798

word	log10(p)	rank	dependance	use fraction	other use fraction
尹	   -4.1174
兆尹	   -5.6067	7563	  474.2470	    0.0252	    0.0282

word	log10(p)	rank	dependance	use fraction	other use fraction
蛛	   -4.1185
蜘蛛	   -4.5230	2941	16802.2509	    0.3066	    0.9951
蛛属	   -4.8016	4272	  191.0091	    0.1614	    0.0113
蟹蛛	   -5.3473	6622	 1144.8500	    0.0459	    0.0678
腹蛛	   -5.3835	6750	 1171.3126	    0.0423	    0.0694
蛛侠	   -5.4629	7056	 1022.2164	    0.0352	    0.0605
隙蛛	   -5.5203	7276	 3579.0811	    0.0308	    0.2120
狼蛛	   -5.6092	7574	  512.6344	    0.0251	    0.0304
跳蛛	   -5.6593	7748	  354.6933	    0.0224	    0.0210
豹蛛	   -5.6968	7875	  657.9609	    0.0205	    0.0390
皿蛛	   -5.7244	7966	 5340.1065	    0.0193	    0.3163
巢蛛	   -5.8631	8410	  610.5311	    0.0140	    0.0362
遥蛛	   -5.9966	8800	  412.2485	    0.0103	    0.0244

word	log10(p)	rank	dependance	use fraction	other use fraction
狄	   -4.1191
乃狄	   -4.8372	4452	 1282.1405	    0.1489	    0.0758
涅狄	   -4.9079	4789	 1233.7996	    0.1265	    0.0730
狄翁	   -5.8487	8360	  190.6208	    0.0145	    0.0113
狄忒	   -5.8751	8450	 1315.9124	    0.0136	    0.0778

word	log10(p)	rank	dependance	use fraction	other use fraction
尖	   -4.1192
尖沙	   -4.8299	4415	  269.6361	    0.1515	    0.0159
尖端	   -5.3945	6787	  306.9936	    0.0413	    0.0182
尖叫	   -5.4431	6982	  448.8103	    0.0369	    0.0265
顶尖	   -5.4957	7184	  303.6517	    0.0327	    0.0180
舌尖	   -5.4981	7193	 1188.7124	    0.0325	    0.0703
笔尖	   -5.6216	7613	  408.5593	    0.0245	    0.0242
尖锐	   -5.6269	7635	 1286.1573	    0.0242	    0.0761
尖顶	   -5.6679	7777	  204.2598	    0.0220	    0.0121
尖碑	   -5.8348	8302	  203.6311	    0.0150	    0.0120

word	log10(p)	rank	dependance	use fraction	other use fraction
择	   -4.1193
选择	   -4.0563	1113	 1651.9223	    0.8996	    0.0977
抉择	   -5.8408	8328	14486.5136	    0.0148	    0.8564

word	log10(p)	rank	dependance	use fraction	other use fraction
棒	   -4.1194
棒球	   -4.4111	2418	  276.8428	    0.3975	    0.0164
棒棒	   -4.9824	5099	 1804.4679	    0.1067	    0.1067
棒堂	   -5.0440	5361	  225.3190	    0.0926	    0.0133
棍棒	   -5.9143	8555	 1546.0547	    0.0125	    0.0914

word	log10(p)	rank	dependance	use fraction	other use fraction
杂	   -4.1197
复杂	   -4.4471	2564	 1077.0637	    0.3661	    0.0636
杂货	   -5.6370	7678	  236.2361	    0.0236	    0.0140
混杂	   -5.6785	7802	  193.7431	    0.0215	    0.0114
氮杂	   -5.7490	8031	  994.8053	    0.0183	    0.0588
掺杂	   -5.8164	8242	 8472.6774	    0.0156	    0.5005
夹杂	   -5.9530	8678	  650.8062	    0.0114	    0.0384

word	log10(p)	rank	dependance	use fraction	other use fraction
潜	   -4.1199
潜艇	   -4.5107	2888	 5838.8155	    0.3164	    0.3447
核潜	   -5.1782	5927	  338.8209	    0.0680	    0.0200
潜伏	   -5.5150	7255	  495.8808	    0.0313	    0.0293

word	log10(p)	rank	dependance	use fraction	other use fraction
买	   -4.1200
购买	   -4.4988	2831	 4515.9998	    0.3252	    0.2666
牙买	   -5.0354	5324	  216.0310	    0.0945	    0.0128
孟买	   -5.1904	5975	  554.3757	    0.0662	    0.0327
买卖	   -5.3059	6429	 1423.2198	    0.0507	    0.0840
买买	   -5.5923	7512	  444.3375	    0.0262	    0.0262

word	log10(p)	rank	dependance	use fraction	other use fraction
听	   -4.1207
听觉	   -5.5376	7344	  285.2246	    0.0298	    0.0168
窃听	   -5.7511	8037	 1987.0348	    0.0182	    0.1171
聆听	   -5.7795	8123	10168.1652	    0.0171	    0.5992
倾听	   -5.8067	8203	 1129.1404	    0.0160	    0.0665
寐听	   -5.9713	8734	 8955.9498	    0.0110	    0.5277

word	log10(p)	rank	dependance	use fraction	other use fraction
丙	   -4.1214
丙戌	   -5.1576	5851	 3216.2074	    0.0716	    0.1892
丙酮	   -5.1603	5865	 3050.0326	    0.0711	    0.1795
丙辰	   -5.1789	5935	  955.1578	    0.0681	    0.0562
丙烯	   -5.1793	5937	 2123.0616	    0.0681	    0.1249
丙午	   -5.3384	6587	  372.4629	    0.0472	    0.0219
苯丙	   -5.3814	6737	 1060.8912	    0.0428	    0.0624
丙申	   -5.4579	7040	  241.6585	    0.0359	    0.0142
丙烷	   -5.4582	7042	  899.7922	    0.0358	    0.0529
丙寅	   -5.4819	7144	 1188.4658	    0.0339	    0.0699
丙胺	   -5.5001	7204	  998.5630	    0.0325	    0.0588
异丙	   -5.5521	7392	  186.1011	    0.0289	    0.0109
烯丙	   -5.6714	7784	  683.6665	    0.0219	    0.0402
丙醇	   -5.6962	7872	  538.9181	    0.0207	    0.0317
丙氨	   -5.7818	8128	  534.8976	    0.0170	    0.0315
酰丙	   -5.8148	8235	  705.2768	    0.0158	    0.0415

word	log10(p)	rank	dependance	use fraction	other use fraction
枝	   -4.1224
荔枝	   -4.9311	4885	 6507.9807	    0.1209	    0.3820
攀枝	   -5.1133	5682	 4094.8116	    0.0795	    0.2403
枝慾	   -5.8972	8506	 2038.1974	    0.0131	    0.1196

word	log10(p)	rank	dependance	use fraction	other use fraction
串	   -4.1239
客串	   -4.2192	1615	 1421.4237	    0.6247	    0.0831
符串	   -5.1581	5858	  487.2820	    0.0719	    0.0285

word	log10(p)	rank	dependance	use fraction	other use fraction
勤	   -4.1239
勤奋	   -5.5923	7510	 1479.8871	    0.0265	    0.0866
勤俭	   -5.8434	8339	 2121.4778	    0.0148	    0.1241
淑勤	   -5.8732	8448	  276.0956	    0.0139	    0.0162

word	log10(p)	rank	dependance	use fraction	other use fraction
灾	   -4.1256
灾难	   -4.6933	3777	 1533.1043	    0.2105	    0.0893
灾害	   -4.7919	4230	 1536.3977	    0.1678	    0.0895
火灾	   -4.8245	4382	  394.8770	    0.1556	    0.0230
洪灾	   -5.2924	6377	  257.1746	    0.0530	    0.0150
减灾	   -5.5407	7354	  456.8970	    0.0299	    0.0266
旱灾	   -5.7338	7997	 1347.5510	    0.0192	    0.0785
赈灾	   -5.9195	8566	 5468.0519	    0.0125	    0.3186

word	log10(p)	rank	dependance	use fraction	other use fraction
迫	   -4.1272
被迫	   -4.5233	2945	  288.0588	    0.3125	    0.0167
迫害	   -4.8193	4349	 1447.6519	    0.1581	    0.0840
强迫	   -5.0340	5313	  361.2995	    0.0964	    0.0210
压迫	   -5.3293	6545	  409.9329	    0.0489	    0.0238
逼迫	   -5.5207	7277	 1752.3153	    0.0314	    0.1017
胁迫	   -5.7618	8068	  890.9097	    0.0180	    0.0517
迫症	   -5.9164	8560	  195.8207	    0.0126	    0.0114

word	log10(p)	rank	dependance	use fraction	other use fraction
答	   -4.1285
回答	   -4.6003	3306	  531.1454	    0.2625	    0.0307
答案	   -5.1158	5690	  232.2616	    0.0801	    0.0134
答腊	   -5.1446	5796	  945.6221	    0.0750	    0.0547
问答	   -5.2462	6198	  192.8582	    0.0593	    0.0112
答曰	   -5.5869	7493	  398.4762	    0.0271	    0.0231
答辩	   -5.7413	8016	  783.0311	    0.0190	    0.0453
俺答	   -5.9844	8762	 5024.1939	    0.0108	    0.2908

word	log10(p)	rank	dependance	use fraction	other use fraction
娘	   -4.1288
姑娘	   -4.7248	3927	 4990.9031	    0.1973	    0.2887
娘娘	   -5.2540	6236	 1008.2704	    0.0583	    0.0583
娘惹	   -5.7012	7887	 2075.1101	    0.0208	    0.1200
媚娘	   -5.8067	8204	 2296.1064	    0.0163	    0.1328
萌娘	   -5.8713	8440	  489.0228	    0.0141	    0.0283
伴娘	   -5.8894	8489	  307.1941	    0.0135	    0.0178

word	log10(p)	rank	dependance	use fraction	other use fraction
翔	   -4.1289
凤翔	   -5.1843	5954	  531.9549	    0.0685	    0.0308
滑翔	   -5.3293	6544	  553.6484	    0.0490	    0.0320
翱翔	   -5.9082	8539	 6831.1138	    0.0129	    0.3950
鹏翔	   -5.9904	8785	  215.6733	    0.0107	    0.0125

word	log10(p)	rank	dependance	use fraction	other use fraction
损	   -4.1289
损失	   -4.4720	2682	  496.4026	    0.3531	    0.0287
受损	   -4.9023	4767	  320.4327	    0.1311	    0.0185
损害	   -4.9940	5135	  972.1339	    0.1062	    0.0562
损坏	   -5.1367	5769	  816.3279	    0.0764	    0.0472
损伤	   -5.1601	5864	  803.5602	    0.0724	    0.0465
损毁	   -5.3406	6596	  851.3693	    0.0478	    0.0492
磨损	   -5.4476	7004	 1173.3400	    0.0374	    0.0678
亏损	   -5.5539	7395	 6832.7791	    0.0292	    0.3951
损耗	   -5.7640	8076	  881.8433	    0.0180	    0.0510
毁损	   -5.9620	8700	  203.5766	    0.0114	    0.0118

word	log10(p)	rank	dependance	use fraction	other use fraction
贤	   -4.1297
奉贤	   -5.3426	6606	  511.6188	    0.0477	    0.0295
忠贤	   -5.5831	7481	  191.9008	    0.0274	    0.0111
贤妃	   -5.6762	7798	  359.7226	    0.0221	    0.0208
贤祠	   -5.8305	8284	  346.8782	    0.0155	    0.0200

word	log10(p)	rank	dependance	use fraction	other use fraction
稿	   -4.1310
史稿	   -4.5732	3172	  232.1409	    0.2811	    0.0134
草稿	   -4.9862	5109	  335.9214	    0.1086	    0.0193
供稿	   -4.9888	5117	  340.9243	    0.1079	    0.0196
撰稿	   -5.4431	6981	 1221.8474	    0.0379	    0.0703

word	log10(p)	rank	dependance	use fraction	other use fraction
叔	   -4.1323
叔叔	   -5.0557	5411	 1617.6051	    0.0928	    0.0928
叔父	   -5.1317	5748	  284.4228	    0.0779	    0.0163

word	log10(p)	rank	dependance	use fraction	other use fraction
菊	   -4.1328
菊池	   -5.0126	5213	  743.6758	    0.1026	    0.0426
毛菊	   -5.1744	5910	  251.3762	    0.0707	    0.0144

word	log10(p)	rank	dependance	use fraction	other use fraction
雕	   -4.1332
雕塑	   -4.5747	3180	 6987.1150	    0.2815	    0.4001
雕像	   -4.7470	4020	  527.8142	    0.1893	    0.0302
雕刻	   -4.8765	4649	 1216.2453	    0.1405	    0.0696
浮雕	   -5.1415	5786	 1487.8587	    0.0763	    0.0852
雕侠	   -5.8205	8251	  464.1257	    0.0160	    0.0266
砖雕	   -5.8549	8381	  712.3226	    0.0148	    0.0408

word	log10(p)	rank	dependance	use fraction	other use fraction
忽	   -4.1338
忽略	   -4.2143	1596	 2286.5520	    0.6464	    0.1308
忽必	   -5.0795	5528	  570.2548	    0.0882	    0.0326
疏忽	   -5.7750	8112	  478.4998	    0.0178	    0.0274

word	log10(p)	rank	dependance	use fraction	other use fraction
浏	   -4.1344
浏览	   -4.0663	1133	 8087.8134	    0.9101	    0.4618
基浏	   -4.2205	1617	  362.1808	    0.6381	    0.0207
页浏	   -5.5778	7472	  193.1824	    0.0280	    0.0110

word	log10(p)	rank	dependance	use fraction	other use fraction
屏	   -4.1361
屏幕	   -4.8403	4463	 1980.4975	    0.1538	    0.1126
屏蔽	   -5.0565	5415	 8544.9914	    0.0935	    0.4860
蓝屏	   -5.2723	6297	  578.0883	    0.0569	    0.0329
翠屏	   -5.3698	6702	  907.1031	    0.0454	    0.0516
屏障	   -5.4294	6930	  721.7186	    0.0396	    0.0410
屏邨	   -5.8469	8357	  410.7882	    0.0151	    0.0234
摸屏	   -5.8913	8492	 1814.8858	    0.0137	    0.1032
荧屏	   -5.9832	8761	 2325.1088	    0.0111	    0.1322

word	log10(p)	rank	dependance	use fraction	other use fraction
闭	   -4.1364
关闭	   -4.3855	2305	  590.5067	    0.4384	    0.0336
封闭	   -4.9226	4851	  440.7831	    0.1273	    0.0251
闭幕	   -5.1718	5899	  923.7779	    0.0717	    0.0525
倒闭	   -5.5835	7484	  516.9985	    0.0278	    0.0294

word	log10(p)	rank	dependance	use fraction	other use fraction
祭	   -4.1368
祭祀	   -4.7821	4190	 7244.6546	    0.1761	    0.4114
祭酒	   -5.4703	7085	  188.7383	    0.0361	    0.0107
祭坛	   -5.5203	7274	  704.9148	    0.0322	    0.0400
祭奠	   -5.9452	8651	  808.9823	    0.0121	    0.0459
祠祭	   -5.9917	8786	  243.3052	    0.0109	    0.0138

word	log10(p)	rank	dependance	use fraction	other use fraction
填	   -4.1376
选填	   -4.6501	3586	  439.0662	    0.2391	    0.0249
必填	   -4.9423	4937	  789.0542	    0.1220	    0.0447
填写	   -5.0184	5249	  481.4189	    0.1024	    0.0273
则填	   -5.0685	5477	  312.7487	    0.0912	    0.0177
填充	   -5.2078	6040	  595.8231	    0.0662	    0.0338
免填	   -5.5316	7318	  250.5380	    0.0314	    0.0142

word	log10(p)	rank	dependance	use fraction	other use fraction
蛇	   -4.1387
毒蛇	   -5.4946	7181	  229.4493	    0.0343	    0.0130
巨蛇	   -5.5346	7328	  268.5474	    0.0313	    0.0152
镜蛇	   -5.7539	8048	  264.6661	    0.0189	    0.0150
螣蛇	   -5.8189	8250	16855.2178	    0.0162	    0.9530
蛇丸	   -5.9496	8670	  254.5800	    0.0120	    0.0144
蟒蛇	   -5.9880	8776	 3505.9312	    0.0110	    0.1982

word	log10(p)	rank	dependance	use fraction	other use fraction
俗	   -4.1391
俗称	   -4.8352	4441	  200.8225	    0.1566	    0.0113
习俗	   -4.9827	5100	  758.9324	    0.1115	    0.0429
庸俗	   -5.8594	8397	  728.0657	    0.0148	    0.0411

word	log10(p)	rank	dependance	use fraction	other use fraction
抵	   -4.1416
抵达	   -4.5493	3059	  392.7650	    0.3043	    0.0221
抵抗	   -4.6649	3652	 1376.5657	    0.2332	    0.0773
抵御	   -5.3597	6668	  417.5866	    0.0471	    0.0235
抵押	   -5.5044	7219	 1379.9272	    0.0337	    0.0775
抵挡	   -5.8238	8262	 1963.8996	    0.0162	    0.1103
抵触	   -5.8585	8391	  382.0501	    0.0149	    0.0215

word	log10(p)	rank	dependance	use fraction	other use fraction
毁	   -4.1419
摧毁	   -4.7893	4220	15048.0021	    0.1752	    0.8446
毁灭	   -5.0178	5245	 1455.1337	    0.1035	    0.0817
烧毁	   -5.1763	5917	 1903.1760	    0.0719	    0.1068
坠毁	   -5.2332	6141	 5677.0487	    0.0631	    0.3186
损毁	   -5.3406	6596	  851.3693	    0.0492	    0.0478
毁坏	   -5.3955	6795	  463.4897	    0.0434	    0.0260
焚毁	   -5.4251	6911	 3348.3819	    0.0405	    0.1879
炸毁	   -5.4666	7068	  506.0213	    0.0368	    0.0284
拆毁	   -5.5207	7279	  668.4721	    0.0325	    0.0375
销毁	   -5.5792	7474	  209.5038	    0.0284	    0.0118
诋毁	   -5.8779	8458	14009.9360	    0.0143	    0.7863
毁掉	   -5.9452	8650	  308.6481	    0.0122	    0.0173
毁损	   -5.9620	8700	  203.5766	    0.0118	    0.0114
捣毁	   -5.9713	8731	 4493.6105	    0.0115	    0.2522

word	log10(p)	rank	dependance	use fraction	other use fraction
擎	   -4.1421
引擎	   -4.0600	1120	 2592.6893	    0.9400	    0.1454

word	log10(p)	rank	dependance	use fraction	other use fraction
纸	   -4.1424
报纸	   -4.5391	3009	  439.7016	    0.3121	    0.0246
纸币	   -5.0437	5360	  841.7130	    0.0977	    0.0472
剪纸	   -5.6576	7739	  849.2184	    0.0238	    0.0476
纸坊	   -5.7062	7906	  257.6847	    0.0212	    0.0144

word	log10(p)	rank	dependance	use fraction	other use fraction
裂	   -4.1425
断裂	   -5.2544	6240	  555.1012	    0.0601	    0.0311
破裂	   -5.2825	6334	  292.0994	    0.0564	    0.0164
爆裂	   -5.4729	7103	  340.1094	    0.0364	    0.0191
撕裂	   -5.6138	7588	 6803.4405	    0.0263	    0.3813
裂症	   -5.6925	7857	  339.6580	    0.0219	    0.0190
裂缝	   -5.7114	7924	 2145.6080	    0.0210	    0.1203

word	log10(p)	rank	dependance	use fraction	other use fraction
玲	   -4.1434
玲奈	   -5.1605	5867	  405.7552	    0.0748	    0.0227
玲玲	   -5.4543	7034	  680.0923	    0.0380	    0.0380
玲珑	   -5.5521	7389	13204.7291	    0.0304	    0.7384
慧玲	   -5.5694	7449	  325.8356	    0.0292	    0.0182
燕玲	   -5.6906	7848	  219.6924	    0.0221	    0.0123
阮玲	   -5.8156	8236	  308.0697	    0.0166	    0.0172
碧玲	   -5.9332	8611	  233.4461	    0.0126	    0.0131
淑玲	   -5.9386	8627	  248.4297	    0.0125	    0.0139
翠玲	   -5.9892	8783	  221.6027	    0.0111	    0.0124

word	log10(p)	rank	dependance	use fraction	other use fraction
勃	   -4.1450
勃艮	   -4.8857	4684	13758.5061	    0.1413	    0.7667
鲍勃	   -4.9772	5077	 2199.9406	    0.1145	    0.1226
勃勃	   -5.5486	7376	  551.3303	    0.0307	    0.0307
蓬勃	   -5.6436	7695	  474.6947	    0.0247	    0.0265
琅勃	   -5.8099	8215	 1234.6305	    0.0168	    0.0688

word	log10(p)	rank	dependance	use fraction	other use fraction
峡	   -4.1453
海峡	   -4.3933	2343	  208.2050	    0.4395	    0.0116
峡谷	   -5.0000	5160	  423.6979	    0.1087	    0.0236
铜峡	   -5.6981	7878	  273.5660	    0.0218	    0.0152

word	log10(p)	rank	dependance	use fraction	other use fraction
珊	   -4.1466
珊瑚	   -4.6754	3699	15069.5905	    0.2302	    0.8366
珊珊	   -5.3515	6638	  874.4794	    0.0485	    0.0485
翠珊	   -5.5539	7396	  608.2230	    0.0305	    0.0338
芷珊	   -5.6343	7669	 2330.0147	    0.0253	    0.1294
慧珊	   -5.6987	7882	  243.7101	    0.0218	    0.0135
珊卓	   -5.8139	8230	  209.0271	    0.0167	    0.0116

word	log10(p)	rank	dependance	use fraction	other use fraction
宙	   -4.1468
宇宙	   -4.1068	1234	 4018.7769	    0.8530	    0.2230

word	log10(p)	rank	dependance	use fraction	other use fraction
拓	   -4.1474
拓跋	   -4.7231	3919	11708.4289	    0.2067	    0.6488
拓扑	   -4.9287	4877	 8721.0513	    0.1287	    0.4832
拓展	   -5.0465	5371	  222.8785	    0.0982	    0.0123
拓哉	   -5.3211	6508	 2160.7849	    0.0522	    0.1197
拓荒	   -5.4201	6896	  794.5878	    0.0415	    0.0440
拓宽	   -5.5376	7343	  442.1074	    0.0317	    0.0245

word	log10(p)	rank	dependance	use fraction	other use fraction
块	   -4.1481
模块	   -4.6986	3799	  827.9267	    0.2190	    0.0458
砖块	   -5.9289	8598	  621.6921	    0.0129	    0.0344

word	log10(p)	rank	dependance	use fraction	other use fraction
涯	   -4.1482
生涯	   -4.1154	1256	  399.6609	    0.8393	    0.0221

word	log10(p)	rank	dependance	use fraction	other use fraction
猪	   -4.1496
猪笼	   -4.3416	2108	11560.8440	    0.5000	    0.6375
猪肉	   -5.4981	7194	  488.1478	    0.0349	    0.0269
猪瘟	   -5.8051	8197	 2908.5746	    0.0172	    0.1604
猪屎	   -5.9032	8526	 4053.0098	    0.0137	    0.2235

word	log10(p)	rank	dependance	use fraction	other use fraction
苑	   -4.1498
屋苑	   -5.3328	6560	  355.4319	    0.0511	    0.0196
翠苑	   -5.6062	7562	  543.1895	    0.0272	    0.0299

word	log10(p)	rank	dependance	use fraction	other use fraction
薛	   -4.1508
薛岳	   -5.7185	7953	  254.1281	    0.0211	    0.0140

word	log10(p)	rank	dependance	use fraction	other use fraction
障	   -4.1517
保障	   -4.4507	2579	  349.9996	    0.3908	    0.0192
障碍	   -4.6103	3362	12539.5328	    0.2706	    0.6881
故障	   -4.9031	4768	  435.6850	    0.1379	    0.0239
屏障	   -5.4294	6930	  721.7186	    0.0410	    0.0396
残障	   -5.8713	8439	  272.2607	    0.0148	    0.0149

word	log10(p)	rank	dependance	use fraction	other use fraction
焦	   -4.1530
聚焦	   -5.2006	6016	  594.6091	    0.0697	    0.0325
焦柳	   -5.4158	6877	  317.9882	    0.0425	    0.0174
焦虑	   -5.4382	6958	 1127.5983	    0.0403	    0.0617
焦耳	   -5.4497	7011	  257.3850	    0.0393	    0.0141
焦距	   -5.6253	7626	  299.4315	    0.0262	    0.0164
焦磷	   -5.6656	7770	  572.3158	    0.0239	    0.0313
焦糖	   -5.8247	8269	  231.0585	    0.0166	    0.0126
焦裕	   -5.8297	8280	  212.3179	    0.0164	    0.0116

word	log10(p)	rank	dependance	use fraction	other use fraction
掌	   -4.1545
掌握	   -4.8009	4270	 8298.5208	    0.1756	    0.4524
掌控	   -5.3216	6515	  277.4917	    0.0530	    0.0151
鹅掌	   -5.7691	8095	  806.0887	    0.0189	    0.0439
鼓掌	   -5.8478	8358	  225.4878	    0.0158	    0.0123

word	log10(p)	rank	dependance	use fraction	other use fraction
残	   -4.1547
残疾	   -4.5333	2984	 4899.3031	    0.3254	    0.2670
残酷	   -5.2698	6286	 2131.9325	    0.0597	    0.1162
残骸	   -5.4841	7151	 6650.2929	    0.0364	    0.3624
残忍	   -5.6322	7661	  612.5342	    0.0259	    0.0334
残障	   -5.8713	8439	  272.2607	    0.0149	    0.0148

word	log10(p)	rank	dependance	use fraction	other use fraction
潭	   -4.1561
湘潭	   -4.8465	4494	 2478.1423	    0.1587	    0.1346
龙潭	   -4.9561	5004	  215.0691	    0.1233	    0.0117
鹰潭	   -5.3253	6527	 1222.0703	    0.0527	    0.0664
株潭	   -5.6720	7789	  584.9267	    0.0237	    0.0318
碧潭	   -5.9868	8773	  212.4819	    0.0115	    0.0115

word	log10(p)	rank	dependance	use fraction	other use fraction
艇	   -4.1571
潜艇	   -4.5107	2888	 5838.8155	    0.3447	    0.3164
舰艇	   -5.0219	5264	  554.0401	    0.1062	    0.0300
遊艇	   -5.9643	8707	  251.0313	    0.0121	    0.0136

word	log10(p)	rank	dependance	use fraction	other use fraction
碧	   -4.1580
碧霞	   -5.6536	7729	  561.9177	    0.0249	    0.0304
碧咸	   -5.8807	8470	  243.4588	    0.0147	    0.0132
碧玲	   -5.9332	8611	  233.4461	    0.0131	    0.0126
碧潭	   -5.9868	8773	  212.4819	    0.0115	    0.0115

word	log10(p)	rank	dependance	use fraction	other use fraction
茵	   -4.1596
莱茵	   -4.1875	1499	 1302.5805	    0.7296	    0.0702
茵兰	   -4.5392	3010	  346.3517	    0.3246	    0.0187
茵茵	   -5.7271	7975	  390.8712	    0.0211	    0.0211
绿茵	   -5.7311	7990	  231.1944	    0.0209	    0.0125
茵晖	   -5.8943	8501	 1097.6391	    0.0143	    0.0591

word	log10(p)	rank	dependance	use fraction	other use fraction
倒	   -4.1606
倒塌	   -5.1205	5710	 6958.2038	    0.0853	    0.3740
打倒	   -5.2289	6129	  211.0493	    0.0665	    0.0113
倒闭	   -5.5835	7484	  516.9985	    0.0294	    0.0278
压倒	   -5.5982	7531	  238.3651	    0.0284	    0.0128
颠倒	   -5.7146	7934	 1423.9559	    0.0217	    0.0765
倒卵	   -5.7979	8186	  915.5711	    0.0179	    0.0492
跌倒	   -5.8760	8453	 1434.3292	    0.0150	    0.0771
摔倒	   -5.9701	8730	  775.6385	    0.0121	    0.0417

word	log10(p)	rank	dependance	use fraction	other use fraction
阮	   -4.1608
阮兆	   -5.4539	7033	  744.9878	    0.0396	    0.0400
阮玲	   -5.8156	8236	  308.0697	    0.0172	    0.0166

word	log10(p)	rank	dependance	use fraction	other use fraction
缘	   -4.1612
边缘	   -4.6649	3653	  997.4044	    0.2439	    0.0535
绝缘	   -5.5040	7218	  267.8972	    0.0353	    0.0144
齿缘	   -5.9375	8622	  282.9111	    0.0130	    0.0152

word	log10(p)	rank	dependance	use fraction	other use fraction
纯	   -4.1612
纯粹	   -5.0863	5567	 3328.3828	    0.0925	    0.1787
纯破	   -5.3277	6538	  274.8449	    0.0530	    0.0148
纯洁	   -5.6919	7852	  722.6894	    0.0229	    0.0388
纯净	   -5.7743	8110	  759.9624	    0.0190	    0.0408

word	log10(p)	rank	dependance	use fraction	other use fraction
尉	   -4.1616
尉迟	   -5.4618	7054	 1777.5825	    0.0390	    0.0953
骑尉	   -5.5741	7460	  425.8569	    0.0301	    0.0228

word	log10(p)	rank	dependance	use fraction	other use fraction
辉	   -4.1618
辉煌	   -5.1986	6005	 3549.9189	    0.0715	    0.1903

word	log10(p)	rank	dependance	use fraction	other use fraction
绕	   -4.1622
围绕	   -4.4716	2681	 2002.8958	    0.3816	    0.1073
颗绕	   -4.9140	4811	 1947.9636	    0.1378	    0.1043
环绕	   -5.0197	5255	  340.3778	    0.1080	    0.0182
