word	log10(p)	rank	dependance	use fraction	other use fraction
在这	   -3.9614	876	   16.2504	    0.0168	    0.0638
并在	   -4.0309	1040	   10.7669	    0.0144	    0.0423
在此	   -4.0724	1149	   16.3257	    0.0130	    0.0641
正在	   -4.0954	1209	   12.9319	    0.0124	    0.0508
而在	   -4.1678	1441	   11.1115	    0.0105	    0.0436
曾在	   -4.1729	1457	   21.0224	    0.0104	    0.0826
但在	   -4.1730	1459	   17.3402	    0.0103	    0.0681

word	log10(p)	rank	dependance	use fraction	other use fraction
学	   -2.3175
大学	   -2.8580	10	   42.2753	    0.2241	    0.1583
学院	   -3.0514	36	  101.3793	    0.1436	    0.3797
科学	   -3.2253	79	   41.9765	    0.0962	    0.1572
学校	   -3.3192	115	  103.1682	    0.0775	    0.3864
学家	   -3.5422	236	   18.7992	    0.0464	    0.0704
中学	   -3.5960	282	    5.4481	    0.0410	    0.0204
学名	   -3.6424	330	   12.1671	    0.0368	    0.0456
文学	   -3.6943	382	    9.8050	    0.0327	    0.0367
化学	   -3.7046	398	   25.2192	    0.0319	    0.0945
学生	   -3.7063	402	   15.1364	    0.0318	    0.0567
理学	   -3.7346	433	   17.2382	    0.0298	    0.0646
医学	   -3.9006	725	   65.3354	    0.0203	    0.2447
学习	   -3.9076	748	  136.0499	    0.0200	    0.5096
学会	   -3.9203	777	    7.5031	    0.0194	    0.0281
数学	   -3.9538	862	   16.5829	    0.0180	    0.0621
哲学	   -4.0349	1055	  107.6684	    0.0149	    0.4033
学科	   -4.0719	1147	    5.9755	    0.0137	    0.0224
物学	   -4.0879	1189	    6.4961	    0.0132	    0.0243
学位	   -4.1622	1427	    7.6209	    0.0111	    0.0285
学者	   -4.1719	1452	   10.0430	    0.0109	    0.0376
学研	   -4.1998	1539	   11.9780	    0.0102	    0.0449
术学	   -4.2008	1544	   19.6993	    0.0102	    0.0738

word	log10(p)	rank	dependance	use fraction	other use fraction
小	   -2.3481
小行	   -2.5995	2	  108.4616	    0.4362	    0.3786
地小	   -3.2691	96	   28.1622	    0.0933	    0.0983
小组	   -3.2868	101	   93.9629	    0.0896	    0.3280
小作	   -3.3730	127	   37.8489	    0.0735	    0.1321
究小	   -3.3751	128	   91.9535	    0.0731	    0.3210
物小	   -3.8450	610	   12.1938	    0.0248	    0.0426
小说	   -3.8729	650	   46.1555	    0.0232	    0.1611
小时	   -3.9196	774	   12.2400	    0.0209	    0.0427
划小	   -3.9310	805	   26.8048	    0.0203	    0.0936

word	log10(p)	rank	dependance	use fraction	other use fraction
公	   -2.3501
公里	   -2.9287	16	   77.6381	    0.2053	    0.2698
公司	   -2.9326	17	  187.0455	    0.2035	    0.6499
方公	   -3.1657	62	   66.0360	    0.1190	    0.2295
公路	   -3.4802	187	   26.7643	    0.0577	    0.0930
公尺	   -3.5268	228	  188.6934	    0.0518	    0.6557
限公	   -3.5758	264	  129.8050	    0.0463	    0.4510
公园	   -3.6828	367	   89.9757	    0.0362	    0.3126
速公	   -3.7578	470	   61.6539	    0.0304	    0.2142
公交	   -3.7595	473	   33.2270	    0.0303	    0.1155
公共	   -3.7993	535	   19.2806	    0.0277	    0.0670
办公	   -3.8273	580	   74.9036	    0.0259	    0.2603
公主	   -3.8302	589	   10.5762	    0.0258	    0.0367
公元	   -3.9444	831	   19.8893	    0.0198	    0.0691
公布	   -3.9490	847	   14.4470	    0.0196	    0.0502
公分	   -3.9809	924	    9.6037	    0.0182	    0.0334
公斤	   -4.0058	980	  255.5257	    0.0172	    0.8879
公室	   -4.0746	1152	   42.7938	    0.0147	    0.1487
公开	   -4.1389	1336	   12.4620	    0.0127	    0.0433
公安	   -4.1391	1337	    7.4350	    0.0126	    0.0258
公民	   -4.1470	1367	    5.3784	    0.0124	    0.0187
公爵	   -4.1807	1474	   57.1786	    0.0115	    0.1987
片公	   -4.2273	1637	   14.7817	    0.0103	    0.0514

word	log10(p)	rank	dependance	use fraction	other use fraction
是	   -2.3607
是一	   -3.2489	85	   19.0150	    0.1006	    0.0645
不是	   -3.5681	256	   23.8742	    0.0483	    0.0809
但是	   -3.6260	313	   70.7986	    0.0422	    0.2401
也是	   -3.6729	357	   44.2616	    0.0379	    0.1501
就是	   -3.6839	368	   74.2214	    0.0370	    0.2517
是在	   -3.7860	514	    7.4406	    0.0292	    0.0252
都是	   -3.8936	703	   25.0901	    0.0228	    0.0851
是由	   -3.9004	724	   18.8259	    0.0225	    0.0638
这是	   -3.9124	757	   21.0741	    0.0218	    0.0715
还是	   -3.9967	964	   48.2004	    0.0180	    0.1634
是否	   -4.0389	1068	  170.8932	    0.0163	    0.5794
只是	   -4.1047	1230	   39.9879	    0.0140	    0.1356
是指	   -4.1298	1310	   27.5171	    0.0132	    0.0933
是不	   -4.1518	1394	    6.2251	    0.0126	    0.0211
于是	   -4.1866	1497	    5.1367	    0.0116	    0.0174
他是	   -4.2473	1719	    7.0476	    0.0101	    0.0239
而是	   -4.2510	1731	   10.6290	    0.0100	    0.0360

word	log10(p)	rank	dependance	use fraction	other use fraction
尔	   -2.3671
阿尔	   -3.5537	244	   34.1968	    0.0506	    0.1143
尔斯	   -3.6961	384	    8.2685	    0.0365	    0.0276
尔德	   -3.7177	414	   13.5417	    0.0347	    0.0452
贝尔	   -3.7855	513	   81.1681	    0.0297	    0.2712
维尔	   -3.8178	567	   21.2927	    0.0276	    0.0711
塞尔	   -3.8604	633	   49.6098	    0.0250	    0.1658
卡尔	   -3.8668	645	   20.8246	    0.0246	    0.0696
哈尔	   -3.8753	658	   35.1501	    0.0241	    0.1174
埃尔	   -3.8949	708	   48.4324	    0.0231	    0.1618
尔特	   -3.9022	730	    8.2548	    0.0227	    0.0276
瓦尔	   -3.9114	753	   37.4972	    0.0222	    0.1253
米尔	   -3.9396	821	   18.5826	    0.0208	    0.0621
尔省	   -3.9566	869	   10.5983	    0.0200	    0.0354
马尔	   -3.9742	907	   12.2349	    0.0192	    0.0409
威尔	   -4.0062	981	   31.2430	    0.0179	    0.1044
德尔	   -4.0392	1069	    6.4588	    0.0166	    0.0216
奥尔	   -4.0510	1099	   18.5236	    0.0161	    0.0619
克尔	   -4.0525	1103	    6.4689	    0.0161	    0.0216
尔滨	   -4.0608	1122	  121.6902	    0.0158	    0.4066
布尔	   -4.0859	1180	   10.9612	    0.0149	    0.0366
费尔	   -4.1075	1235	   57.8233	    0.0141	    0.1932
尔多	   -4.1157	1258	   10.1617	    0.0139	    0.0340
沃尔	   -4.1189	1271	   51.5883	    0.0138	    0.1724
萨尔	   -4.1239	1290	   26.5765	    0.0136	    0.0888
科尔	   -4.1413	1345	    5.7106	    0.0131	    0.0191
尔维	   -4.1569	1409	    9.7518	    0.0126	    0.0326
菲尔	   -4.1626	1429	   44.1907	    0.0125	    0.1477
巴尔	   -4.1684	1442	    8.9767	    0.0123	    0.0300
尼尔	   -4.2018	1546	    7.9891	    0.0114	    0.0267
尔巴	   -4.2059	1564	    8.2342	    0.0113	    0.0275
库尔	   -4.2180	1606	   26.5935	    0.0110	    0.0889
尔兰	   -4.2189	1611	   11.6782	    0.0109	    0.0390
格尔	   -4.2273	1636	    8.7201	    0.0107	    0.0291
爱尔	   -4.2447	1710	   29.5168	    0.0103	    0.0986
达尔	   -4.2507	1730	   13.1271	    0.0102	    0.0439
尔顿	   -4.2513	1733	   35.8071	    0.0102	    0.1196
塔尔	   -4.2545	1743	   14.8143	    0.0101	    0.0495

word	log10(p)	rank	dependance	use fraction	other use fraction
市	   -2.3671
市镇	   -3.0793	44	  106.5416	    0.1509	    0.3560
城市	   -3.2506	86	   69.4658	    0.1017	    0.2321
州市	   -3.4017	142	   31.1012	    0.0719	    0.1039
京市	   -3.6531	344	   38.1493	    0.0403	    0.1275
省市	   -3.7736	492	   16.1540	    0.0305	    0.0540
海市	   -3.7755	495	   14.3914	    0.0304	    0.0481
市长	   -3.8807	669	   14.9917	    0.0238	    0.0501
都市	   -3.9360	814	   23.0940	    0.0210	    0.0772
市政	   -3.9425	826	    8.2503	    0.0207	    0.0276
阳市	   -3.9536	861	   34.9037	    0.0202	    0.1166
市场	   -3.9669	887	   22.5069	    0.0196	    0.0752
